Time,Position/LatitudeDegrees,Position/LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm/Value
2019-09-28T18:11:13.000+02:00,46.8669615983963,19.885371565818787,122.0,9112.93,170
2019-09-28T18:11:14.000+02:00,46.866963267326355,19.885329961776733,121.6,9115.9,170
2019-09-28T18:11:15.000+02:00,46.866968274116516,19.88529324531555,121.5,9118.9,173
2019-09-28T18:11:16.000+02:00,46.86697161197662,19.88525664806366,121.3,9121.860000000002,173
2019-09-28T18:11:17.000+02:00,46.866976618766785,19.885219931602478,121.1,9124.800000000001,173
2019-09-28T18:11:18.000+02:00,46.866981625556946,19.885178327560425,120.8,9127.730000000001,173
2019-09-28T18:11:19.000+02:00,46.86698496341705,19.885141611099243,121.1,9130.69,173
2019-09-28T18:11:20.000+02:00,46.86698663234711,19.885103225708008,121.3,9133.62,173
2019-09-28T18:11:21.000+02:00,46.866989970207214,19.8850599527359,121.6,9136.570000000002,173
2019-09-28T18:11:22.000+02:00,46.866989970207214,19.885016560554504,121.6,9139.550000000001,173
2019-09-28T18:11:23.000+02:00,46.866994976997375,19.884971618652344,121.8,9142.600000000002,173
2019-09-28T18:11:24.000+02:00,46.86699998378754,19.88493323326111,122.0,9145.69,173
2019-09-28T18:11:25.000+02:00,46.867003321647644,19.88489329814911,121.8,9148.78,174
2019-09-28T18:11:26.000+02:00,46.867008328437805,19.884854912757874,122.3,9151.86,174
2019-09-28T18:11:27.000+02:00,46.86700999736786,19.88481831550598,122.3,9154.900000000001,174
2019-09-28T18:11:28.000+02:00,46.86701321601868,19.8847815990448,122.3,9157.910000000002,174
2019-09-28T18:11:29.000+02:00,46.86701822280884,19.884739995002747,122.3,9160.880000000001,174
2019-09-28T18:11:30.000+02:00,46.867023229599,19.884698271751404,121.8,9164.060000000001,174
2019-09-28T18:11:31.000+02:00,46.86702823638916,19.884661555290222,121.3,9167.250000000002,174
2019-09-28T18:11:32.000+02:00,46.86703658103943,19.88462996482849,120.1,9170.310000000001,174
2019-09-28T18:11:33.000+02:00,46.86704158782959,19.88459324836731,119.8,9173.240000000002,174
2019-09-28T18:11:34.000+02:00,46.86704659461975,19.884551644325256,119.6,0.0,174
2019-09-28T18:11:35.000+02:00,46.86704993247986,19.88451325893402,119.3,9176.2,175
2019-09-28T18:11:36.000+02:00,46.86705493927002,19.88447332382202,118.6,9179.160000000002,175
2019-09-28T18:11:37.000+02:00,46.86705994606018,19.88443160057068,118.1,9182.15,175
2019-09-28T18:11:38.000+02:00,46.86706495285034,19.884394884109497,117.8,9185.160000000002,175
2019-09-28T18:11:39.000+02:00,46.86706829071045,19.884358286857605,117.6,9188.130000000001,175
2019-09-28T18:11:40.000+02:00,46.8670699596405,19.884321570396423,117.3,9191.080000000002,175
2019-09-28T18:11:41.000+02:00,46.867074966430664,19.884283304214478,117.3,9194.01,175
2019-09-28T18:11:42.000+02:00,46.86707830429077,19.884246587753296,117.3,9196.95,175
2019-09-28T18:11:43.000+02:00,46.86708164215088,19.884211659431458,117.3,9199.84,175
2019-09-28T18:11:44.000+02:00,46.86708664894104,19.884178280830383,117.3,9202.7,175
2019-09-28T18:11:45.000+02:00,46.867088317871094,19.88414490222931,117.5,9205.53,174
2019-09-28T18:11:46.000+02:00,46.8670916557312,19.884108304977417,117.6,9208.2,174
2019-09-28T18:11:47.000+02:00,46.867093324661255,19.884071588516235,118.0,9210.9,174
2019-09-28T18:11:48.000+02:00,46.86709666252136,19.884031653404236,118.3,9213.640000000001,174
2019-09-28T18:11:49.000+02:00,46.867101550102234,19.883993268013,118.6,9216.43,174
2019-09-28T18:11:50.000+02:00,46.867106556892395,19.883958220481873,119.0,9219.26,174
2019-09-28T18:11:51.000+02:00,46.8671098947525,19.883923292160034,119.0,9222.060000000001,174
2019-09-28T18:11:52.000+02:00,46.867111563682556,19.883888244628906,119.1,9224.87,174
2019-09-28T18:11:53.000+02:00,46.867114901542664,19.88385498523712,119.3,9227.630000000001,174
